symbol,passed,close,rule_1_weekly_close_gt_weekly_sma20,rule_2_pullback_ge_3pct,rule_3_pullback_le_15pct,rule_4_new_10d_closing_high,rule_5_breakout_ge_5pct,rule_6_breakout_le_20pct,rule_7_strong_close_small_wick,rule_8_macd_line_gt_signal,rule_9_recent_macd_cross,rule_10_volume_surge_1.3x,rule_16_atr_pct_le_8,pullback_pct,atr_pct_of_close,stop_loss_10pct,sma10_exit_level,sma10_already_broken,rule_11_roe_ge_10pct,rule_12_roce_ge_10pct,rule_13_net_sales_gt_0,rule_14_net_profit_gt_0,rule_15_operating_margin_ge_10pct,roe_pct,roce_pct,operating_margin_pct
BIIB,False,205.99,True,True,True,False,False,True,False,False,True,False,True,7.1,4.38,185.39,202.57,False,False,True,True,True,True,8.7,10.7,24.6
BKNG,False,181.68,True,True,True,False,False,True,False,False,True,False,True,5.1,3.54,163.51,179.09,False,False,True,True,True,True,-3.3,111.6,23.0
BKR,False,55.95,False,True,True,False,False,True,True,True,True,True,True,6.0,3.08,50.36,56.52,True,True,False,True,True,True,13.4,8.2,14.1
BLDR,False,74.26,False,True,True,False,False,True,False,False,True,True,True,14.6,5.56,66.83,76.24,True,True,False,True,False,False,10.9,8.2,0.5
BR,False,149.91,False,False,True,False,False,True,True,True,True,False,True,2.7,3.21,134.92,148.27,False,True,True,True,True,True,29.8,17.3,33.5
CAH,False,228.52,True,True,True,False,False,True,False,False,True,False,True,6.1,2.41,205.67,232.99,True,False,True,True,True,False,-54.1,15.4,1.1
CARR,False,68.69,True,True,True,False,False,True,False,False,True,False,True,7.1,3.36,61.82,68.78,True,True,False,True,True,False,55.0,7.6,4.8
CAT,False,880.28,True,True,False,False,False,True,True,False,True,False,True,16.3,4.84,792.25,928.55,True,True,True,True,True,True,14.5,18.7,17.7
CBOE,False,273.41,False,True,True,False,False,True,False,True,True,False,True,3.6,4.22,246.07,268.51,False,True,True,True,True,True,20.5,22.3,82.7
CBRE,False,140.96,True,True,True,False,False,True,False,True,True,False,True,3.6,3.09,126.86,140.2,False,True,False,True,True,False,13.6,9.5,4.9
CCI,False,79.17,False,False,True,False,False,True,False,True,True,False,True,2.7,3.13,71.25,78.16,False,False,False,True,True,True,6.3,7.8,46.0
CCL,False,26.41,False,True,True,False,False,True,False,False,True,False,True,11.3,4.25,23.77,26.64,True,True,True,True,True,True,21.3,11.6,14.6
CDNS,False,330.11,True,True,False,False,False,True,False,False,True,True,True,18.1,4.91,297.1,371.2,True,True,True,True,True,True,16.9,15.0,29.3
CDW,False,133.24,True,True,True,False,False,True,False,False,True,False,True,10.0,4.32,119.92,137.79,True,True,True,True,True,True,41.7,18.9,14.2
CEG,False,252.39,False,True,True,False,False,True,True,True,True,False,True,7.9,3.76,227.15,250.85,False,False,False,True,True,True,6.9,3.7,21.0
CF,False,121.42,False,False,True,True,False,True,False,True,False,True,True,2.4,3.45,109.28,117.41,False,True,True,True,True,True,28.8,16.8,43.5
CHD,False,98.07,False,True,True,False,False,True,True,True,True,False,True,3.3,2.48,88.26,97.15,False,True,True,True,True,True,17.6,14.2,19.8
CHRW,False,208.5,True,False,True,True,False,True,True,True,True,False,True,2.3,2.67,187.65,196.36,False,True,True,True,True,True,34.5,23.8,25.3
CHTR,False,131.37,False,True,True,False,False,True,False,True,False,False,True,8.2,5.39,118.23,132.73,True,True,False,True,True,True,30.4,9.1,23.6
CI,False,281.45,True,True,True,False,False,True,False,False,True,False,True,8.4,3.12,253.31,291.45,True,True,False,True,True,False,14.1,9.1,3.4
CIEN,False,374.41,False,True,False,False,False,True,False,False,True,False,False,26.1,8.78,336.97,429.08,True,False,False,True,True,True,4.3,4.2,15.1
CL,False,92.98,True,True,True,False,False,True,False,False,True,False,True,3.6,2.43,83.68,92.75,False,True,True,True,True,True,1470.3,31.0,24.1
CMCSA,False,23.79,False,False,True,False,False,True,False,True,False,False,True,2.6,3.39,21.41,23.54,False,True,False,True,True,True,22.7,9.1,13.7
CME,False,245.05,False,False,True,False,False,True,False,True,True,True,True,1.7,2.86,220.55,242.38,False,True,True,True,True,True,15.3,11.8,69.7
CMG,False,34.44,True,True,True,False,False,True,False,True,False,False,True,7.5,3.68,31.0,34.79,True,True,True,True,True,True,63.8,25.6,12.9
CMI,False,648.48,True,True,True,False,False,True,True,False,True,False,True,10.0,4.01,583.63,665.93,True,False,True,True,True,True,8.4,16.6,11.4
CMS,False,73.65,False,True,True,False,False,True,False,False,True,False,True,6.5,2.1,66.29,75.28,True,True,False,True,True,True,11.3,4.7,17.9
CNC,False,66.44,True,True,True,False,False,True,True,False,True,False,True,8.6,3.83,59.8,66.82,True,False,False,True,True,False,-31.1,-18.5,3.7
CNP,False,43.13,True,True,True,False,False,True,False,False,True,False,True,4.5,2.06,38.82,43.65,True,False,False,True,True,True,9.2,5.0,22.1
COHR,False,277.6,True,True,False,False,False,True,False,False,True,False,False,31.4,10.86,249.84,309.07,True,False,False,True,True,False,0.5,0.6,7.6
COIN,False,157.12,False,True,True,False,False,True,False,True,True,False,True,11.8,6.06,141.41,161.29,True,False,False,True,False,False,9.3,7.3,-1.5
